Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance,Critical
14224,0.100000,1.687500,0.208333,-0.000000,-0.811182,0
14225,0.100000,1.812500,0.416667,-0.000000,-0.810377,0
14226,0.100000,1.937500,0.625000,-0.000000,-0.806428,0
14227,0.100000,1.500000,0.000000,-0.000000,-0.798175,0
14228,0.100000,1.875000,0.625000,-0.000000,-0.800368,0
14229,0.100000,2.000000,0.833333,-0.000000,-0.796737,0
14230,0.100000,1.437500,0.000000,-0.000000,-0.788488,0
14231,0.100000,1.562500,0.208333,-0.000000,-0.793916,0
14232,0.100000,1.625000,0.416667,-0.000000,-0.787829,0
14233,0.100000,1.687500,0.416667,-0.000000,-0.795317,0
14234,0.100000,1.812500,0.625000,-0.000000,-0.794614,0
14235,0.100000,1.937500,0.833333,-0.000000,-0.791166,0
14236,0.137500,1.312500,1.250000,-0.000011,-0.775298,0
14237,0.137500,1.250000,1.041667,-0.000011,-0.775878,0
14238,0.100000,1.437500,0.208333,-0.000000,-0.776092,0
14239,0.100000,1.500000,0.208333,-0.000000,-0.784598,0
14240,0.100000,1.562500,0.416667,-0.000000,-0.780248,0
14241,0.100000,1.687500,0.625000,-0.000000,-0.781471,0
14242,0.100000,1.812500,0.833333,-0.000000,-0.780857,0
14243,0.100000,1.875000,0.833333,-0.000000,-0.785878,0
14244,0.100000,1.937500,1.041667,-0.000000,-0.777850,0
14245,0.100000,2.000000,1.041667,-0.000000,-0.782709,0
14246,0.175000,0.812500,1.250000,-0.002096,-0.773719,0
14247,0.137500,1.000000,0.000000,-0.000011,-0.774152,0
14248,0.175000,1.125000,4.791667,-0.021154,-0.716412,0
14249,0.175000,0.937500,2.708333,-0.003835,-0.741920,0
14250,0.175000,1.250000,4.166667,-0.004338,-0.741370,0
14251,0.175000,0.875000,2.500000,-0.006975,-0.730300,0
14252,0.175000,1.000000,3.541667,-0.009748,-0.730179,0
14253,0.775000,1.250000,0.000000,-0.093990,-0.122188,0
14254,0.737500,1.812500,1.041667,-0.105341,-0.102320,0
14255,0.100000,1.750000,0.416667,-0.000000,-0.802604,0
14256,0.100000,1.750000,0.625000,-0.000000,-0.787829,0
14257,0.137500,1.187500,0.833333,-0.000011,-0.775298,0
14258,0.100000,1.375000,0.000000,-0.000000,-0.777850,0
14259,0.175000,0.687500,0.000000,-0.002080,-0.773719,0
14260,0.175000,0.625000,1.458333,-0.021146,-0.716412,0
14261,0.175000,1.500000,4.791667,-0.004097,-0.740832,0
14262,0.175000,1.375000,5.000000,-0.009723,-0.728935,0
14263,0.775000,1.437500,0.416667,-0.093977,-0.122188,0
14264,0.962500,1.937500,0.000000,-0.096567,-0.086262,0
14265,0.100000,1.625000,0.625000,-0.000001,-0.774939,0
14266,0.175000,1.000000,2.500000,-0.002066,-0.772975,0
14267,0.137500,1.937500,2.500000,-0.000012,-0.773585,0
14268,0.175000,1.937500,5.000000,-0.002072,-0.772178,0
14269,0.175000,0.812500,3.333333,-0.021144,-0.716412,0
14270,0.175000,0.750000,1.666667,-0.009409,-0.728935,0
14271,0.175000,1.187500,4.375000,-0.009450,-0.727790,0
14272,0.775000,1.562500,0.625000,-0.093965,-0.122188,0
14273,0.100000,1.750000,0.833333,-0.000001,-0.774939,0
14274,0.175000,1.375000,3.958333,-0.002062,-0.772975,0
14275,0.137500,1.125000,0.625000,-0.000012,-0.773022,0
14276,0.100000,1.875000,1.041667,-0.000001,-0.773237,0
14277,0.175000,0.937500,4.166667,-0.021134,-0.716412,0
14278,0.175000,1.125000,3.958333,-0.007535,-0.727744,0
14279,0.175000,1.312500,4.791667,-0.009371,-0.726761,0
14280,0.775000,1.937500,1.041667,-0.093881,-0.122188,0
14281,0.175000,1.187500,3.333333,-0.002021,-0.772178,0
14282,0.175000,1.062500,4.791667,-0.021119,-0.716412,0
14283,0.175000,1.000000,3.333333,-0.007397,-0.727744,0
14284,0.175000,1.250000,4.583333,-0.009272,-0.726761,0
14285,0.775000,1.750000,0.833333,-0.093865,-0.122188,0
14286,0.175000,1.312500,3.750000,-0.002013,-0.771344,0
14287,0.137500,1.437500,1.666667,-0.000012,-0.771360,0
14288,0.100000,1.500000,0.416667,-0.000001,-0.772121,0
14289,0.175000,0.562500,0.625000,-0.021073,-0.716412,0
14290,0.175000,0.875000,2.708333,-0.009162,-0.726761,0
14291,0.775000,1.375000,0.208333,-0.093839,-0.122188,0
14292,0.175000,1.562500,4.375000,-0.001997,-0.771344,0
14293,0.175000,0.687500,2.291667,-0.021041,-0.716412,0
14294,0.175000,0.937500,3.125000,-0.009141,-0.726761,0
14295,0.775000,1.625000,0.625000,-0.093784,-0.122188,0
14296,0.175000,1.250000,3.541667,-0.001990,-0.771344,0
14297,0.175000,0.750000,2.916667,-0.021028,-0.716412,0
14298,0.175000,0.812500,2.083333,-0.007789,-0.724403,0
14299,0.175000,1.062500,3.750000,-0.008482,-0.723780,0
14300,0.175000,1.437500,5.000000,-0.007777,-0.726673,0
14301,0.775000,1.500000,0.416667,-0.093776,-0.122188,0
14302,0.175000,0.750000,0.625000,-0.001974,-0.771344,0
14303,0.175000,1.000000,4.583333,-0.020994,-0.716412,0
14304,0.175000,0.687500,0.833333,-0.007935,-0.723673,0
14305,0.175000,0.750000,1.458333,-0.007229,-0.726673,0
14306,0.775000,1.312500,0.000000,-0.093751,-0.122188,0
14307,0.175000,0.937500,2.083333,-0.001944,-0.770487,0
14308,0.137500,1.750000,2.291667,-0.000013,-0.770814,0
14309,0.175000,1.812500,4.791667,-0.001957,-0.769625,0
14310,0.175000,0.625000,1.666667,-0.020940,-0.716412,0
14311,0.175000,0.625000,0.000000,-0.007913,-0.723673,0
14312,0.812500,1.375000,0.208333,-0.081937,-0.112462,0
14313,0.925000,1.750000,0.000000,-0.035202,-0.118368,0
14314,0.812500,1.812500,1.041667,-0.088976,-0.073679,0
14315,0.850000,1.812500,0.833333,-0.062479,-0.113966,0
14316,0.925000,1.812500,0.000000,-0.035202,-0.120892,0
14317,0.812500,2.000000,1.250000,-0.092738,-0.057242,0
14318,0.175000,0.875000,1.666667,-0.001942,-0.770487,0
14319,0.175000,0.875000,3.958333,-0.020901,-0.716412,0
14320,0.812500,1.562500,0.208333,-0.081461,-0.109634,0
14321,0.812500,1.562500,0.625000,-0.081770,-0.099380,0
14322,0.812500,2.000000,0.833333,-0.081474,-0.108448,0
14323,0.850000,1.562500,0.416667,-0.062479,-0.113966,0
14324,0.962500,1.750000,0.208333,-0.026467,-0.117628,0
14325,0.812500,1.875000,1.041667,-0.085094,-0.042358,0
14326,0.137500,1.625000,2.083333,-0.000013,-0.770274,0
14327,0.175000,1.687500,4.583333,-0.001930,-0.769625,0
14328,0.100000,2.000000,1.250000,-0.000001,-0.770474,0
14329,0.175000,0.562500,0.833333,-0.020888,-0.716412,0
14330,0.812500,1.812500,0.625000,-0.081451,-0.109634,0
14331,0.812500,1.312500,0.000000,-0.081657,-0.079488,0
14332,0.812500,1.875000,0.625000,-0.081475,-0.092007,0
14333,0.812500,1.937500,0.833333,-0.081463,-0.103447,0
14334,0.850000,1.687500,0.208333,-0.062085,-0.113753,0
14335,0.850000,1.812500,0.416667,-0.062087,-0.113578,0
14336,0.962500,2.000000,0.208333,-0.026301,-0.114665,0
14337,0.175000,1.500000,3.958333,-0.001341,-0.769128,0
14338,0.100000,1.687500,0.833333,-0.000001,-0.769394,0
