Index,car_width,car_length,sampling_rate,isCollision,ego_vimpact,min_ttc,stopCondition,endTime,timeCollision
311,1.98,4.31,100,1.00,2.73,10.00,4.00,4.32,-1
312,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
313,1.98,4.31,100,1.00,1.18,10.00,4.00,8.04,-1
314,1.98,4.31,100,1.00,2.48,10.00,4.00,4.19,-1
315,1.98,4.31,100,0.00,0.00,0.13,3.00,10.00,-1
316,1.98,4.31,100,0.00,0.00,0.34,3.00,10.00,-1
317,1.98,4.31,100,1.00,1.49,10.00,4.00,6.75,-1
318,1.98,4.31,100,1.00,3.08,0.13,4.00,9.37,-1
319,1.98,4.31,100,1.00,2.80,0.10,4.00,9.28,-1
320,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
321,1.98,4.31,100,0.00,0.00,0.09,3.00,10.00,-1
322,1.98,4.31,100,1.00,2.84,0.15,4.00,8.78,-1
323,1.98,4.31,100,1.00,2.89,0.37,4.00,7.98,-1
324,1.98,4.31,100,1.00,2.84,10.00,4.00,3.99,-1
325,1.98,4.31,100,1.00,2.82,10.00,4.00,4.30,-1
326,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
327,1.98,4.31,100,1.00,1.20,10.00,4.00,7.97,-1
328,1.98,4.31,100,0.00,0.00,0.08,3.00,10.00,-1
329,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
330,1.98,4.31,100,1.00,2.74,10.00,4.00,3.98,-1
331,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
332,1.98,4.31,100,0.00,0.00,0.11,3.00,10.00,-1
333,1.98,4.31,100,1.00,2.77,10.00,4.00,4.04,-1
334,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
335,1.98,4.31,100,1.00,2.79,10.00,4.00,4.02,-1
336,1.98,4.31,100,1.00,3.01,0.13,4.00,9.29,-1
337,1.98,4.31,100,1.00,2.39,0.14,4.00,8.73,-1
338,1.98,4.31,100,1.00,2.55,0.09,4.00,9.18,-1
339,1.98,4.31,100,1.00,3.01,0.13,4.00,9.29,-1
340,1.98,4.31,100,1.00,2.50,10.00,4.00,4.06,-1
341,1.98,4.31,100,1.00,2.64,0.37,4.00,8.21,-1
342,1.98,4.31,100,0.00,0.00,0.13,3.00,10.00,-1
343,1.98,4.31,100,1.00,1.17,10.00,4.00,8.12,-1
344,1.98,4.31,100,1.00,1.49,10.00,4.00,6.62,-1
345,1.98,4.31,100,1.00,2.51,10.00,4.00,4.23,-1
346,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
347,1.98,4.31,100,1.00,2.76,10.00,4.00,4.60,-1
348,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
349,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
350,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
351,1.98,4.31,100,0.00,0.00,0.11,3.00,10.00,-1
352,1.98,4.31,100,1.00,2.77,10.00,4.00,4.08,-1
353,1.98,4.31,100,1.00,2.77,10.00,4.00,4.08,-1
354,1.98,4.31,100,1.00,2.52,10.00,4.00,4.23,-1
355,1.98,4.31,100,1.00,1.18,10.00,4.00,8.04,-1
356,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
357,1.98,4.31,100,0.00,0.00,0.13,3.00,10.00,-1
358,1.98,4.31,100,1.00,2.49,10.00,4.00,4.15,-1
359,1.98,4.31,100,0.00,0.00,0.34,3.00,10.00,-1
360,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
361,1.98,4.31,100,1.00,2.84,0.15,4.00,8.78,-1
362,1.98,4.31,100,1.00,2.84,10.00,4.00,3.99,-1
363,1.98,4.31,100,1.00,2.82,10.00,4.00,4.30,-1
364,1.98,4.31,100,1.00,1.20,10.00,4.00,7.97,-1
365,1.98,4.31,100,0.00,0.00,0.08,3.00,10.00,-1
366,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
367,1.98,4.31,100,1.00,2.74,10.00,4.00,3.98,-1
368,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
369,1.98,4.31,100,1.00,2.77,10.00,4.00,4.04,-1
370,1.98,4.31,100,1.00,2.79,10.00,4.00,4.02,-1
371,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
372,1.98,4.31,100,0.00,0.00,0.12,3.00,10.00,-1
373,1.98,4.31,100,1.00,2.87,0.38,4.00,7.85,-1
374,1.98,4.31,100,1.00,1.49,10.00,4.00,6.75,-1
375,1.98,4.31,100,1.00,2.79,10.00,4.00,4.02,-1
376,1.98,4.31,100,1.00,2.39,0.14,4.00,8.73,-1
377,1.98,4.31,100,1.00,2.96,0.14,4.00,9.05,-1
378,1.98,4.31,100,1.00,1.49,10.00,4.00,6.62,-1
379,1.98,4.31,100,1.00,2.76,10.00,4.00,4.60,-1
380,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
381,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
382,1.98,4.31,100,1.00,2.77,10.00,4.00,4.08,-1
383,1.98,4.31,100,1.00,2.77,10.00,4.00,4.08,-1
384,1.98,4.31,100,1.00,2.79,10.00,4.00,4.04,-1
385,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
386,1.98,4.31,100,0.00,0.00,10.00,3.00,10.00,-1
387,1.98,4.31,100,0.00,0.00,0.09,3.00,10.00,-1
388,1.98,4.31,100,0.00,0.00,0.11,3.00,10.00,-1
389,1.98,4.31,100,1.00,2.55,0.09,4.00,9.18,-1
390,1.98,4.31,100,0.00,0.00,0.08,3.00,10.00,-1
391,1.98,4.31,100,1.00,2.89,0.37,4.00,7.98,-1
392,1.98,4.31,100,1.00,1.17,10.00,4.00,8.12,-1
