Index,Ego_HostVelGain,Other_Velocity_mps,Other_Time_s,Fitness_Critical adapted distance,Fitness_Velocity at critical distance
37,0.384136,1.975481,4.767137,-0.781179,-1.275641
38,0.384136,1.975481,4.808089,-0.846797,-1.271930
39,0.379870,1.973243,4.767137,-0.678354,-1.086621
40,0.379870,1.973961,4.767137,-0.678330,-1.086621
41,0.683893,0.858110,0.488754,-0.979911,-2.853069
42,0.619027,1.555523,2.420795,-0.997791,-1.865511
43,0.683893,0.864506,0.488754,-0.979143,-2.853069
44,0.619027,1.555523,2.419944,-0.996325,-1.865511
45,0.657096,1.347534,2.046813,-0.864651,-1.937134
46,0.633088,0.845468,0.489238,-0.860197,-2.809809
47,0.657096,1.347534,2.047664,-0.864651,-1.937134
48,0.408510,1.984637,4.767137,-0.993383,-1.351086
49,0.580547,1.555523,2.755327,-0.980589,-1.771820
50,0.782050,1.041434,0.814579,-0.739406,-2.117159
51,0.637357,0.858110,0.489238,-0.736778,-2.808768
52,0.648417,1.340841,2.098991,-0.850433,-1.932113
53,0.406182,1.984637,4.767137,-0.986760,-1.342341
54,0.410788,1.984637,4.767137,-0.972019,-1.360777
55,0.637357,0.860251,0.451803,-0.631985,-2.808768
56,0.633460,0.834275,0.793191,-0.848909,-1.888586
57,0.403385,1.974101,4.767137,-0.976422,-1.332428
58,0.410415,1.983351,4.458634,-0.817283,-1.358680
59,0.384136,1.923436,4.767137,-0.846916,-1.271930
60,0.384136,1.973304,4.767137,-0.781277,-1.275641
61,0.384136,1.975481,4.808089,-0.846797,-1.271930
62,0.683893,0.857572,0.488754,-0.979976,-2.853069
63,0.402403,1.984637,4.777432,-0.998549,-1.328292
64,0.619027,1.555523,2.502657,-0.998092,-1.865511
65,0.683893,0.858110,0.488754,-0.979911,-2.853069
66,0.619027,1.555523,2.420795,-0.997791,-1.865511
67,0.683893,0.864506,0.488754,-0.979143,-2.853069
68,0.619027,1.555523,2.419944,-0.996325,-1.865511
69,0.633088,0.845468,0.489238,-0.860197,-2.809809
70,0.652848,1.347534,2.061080,-0.887930,-1.937912
71,0.408510,1.984637,4.767137,-0.993383,-1.351086
72,0.580547,1.555523,2.755327,-0.980589,-1.771820
73,0.782050,1.041434,0.814579,-0.739406,-2.117159
74,0.637357,0.858110,0.489238,-0.736778,-2.808768
75,0.657096,1.347534,2.046813,-0.864651,-1.937134
76,0.657096,1.347534,2.047664,-0.864651,-1.937134
77,0.406182,1.984637,4.767137,-0.986760,-1.342341
78,0.410788,1.984637,4.767137,-0.972019,-1.360777
79,0.408510,1.927981,4.767137,-0.978203,-1.351086
80,0.637357,0.860251,0.451803,-0.631985,-2.808768
81,0.648417,1.340841,2.098991,-0.850433,-1.932113
82,0.403385,1.974101,4.767137,-0.976422,-1.332428
83,0.388384,1.975481,4.815141,-0.978187,-1.275728
84,0.633460,0.834275,0.793191,-0.848909,-1.888586
85,0.683893,0.857572,0.488754,-0.979976,-2.853069
86,0.402403,1.984637,4.777432,-0.998549,-1.328292
87,0.619027,1.555523,2.502657,-0.998092,-1.865511
88,0.701888,1.073527,0.177302,-0.670277,-3.811532
89,0.683893,0.858110,0.488754,-0.979911,-2.853069
90,0.619027,1.555523,2.420795,-0.997791,-1.865511
91,0.637357,1.068899,0.495577,-0.670138,-3.665975
92,0.683893,0.864506,0.488754,-0.979143,-2.853069
93,0.619027,1.555523,2.419944,-0.996325,-1.865511
94,0.633088,0.845468,0.489238,-0.860197,-2.809809
95,0.652848,1.347534,2.061080,-0.887930,-1.937912
96,0.408510,1.984637,4.767137,-0.993383,-1.351086
97,0.580547,1.555523,2.755327,-0.980589,-1.771820
98,0.637288,0.834556,0.362892,-0.857214,-2.808775
99,0.657096,1.347534,2.046813,-0.864651,-1.937134
100,0.657096,1.347534,2.047664,-0.864651,-1.937134
101,0.408510,1.992445,4.767137,-0.993327,-1.351086
102,0.410788,1.984637,4.767137,-0.972019,-1.360777
103,0.782050,1.041434,0.814579,-0.739406,-2.117159
104,0.637357,0.858110,0.489238,-0.736778,-2.808768
105,0.648417,1.340841,2.098991,-0.850433,-1.932113
106,0.408510,1.927981,4.767137,-0.978203,-1.351086
107,0.407249,1.984637,4.746828,-0.991135,-1.346618
108,0.637357,0.860251,0.451803,-0.631985,-2.808768
109,0.633460,0.834275,0.793191,-0.848909,-1.888586
110,0.406182,1.984637,4.767137,-0.986760,-1.342341
111,0.402403,1.984637,4.777432,-0.998549,-1.328292
112,0.619027,1.555523,2.502657,-0.998092,-1.865511
113,0.701888,1.073527,0.177302,-0.670277,-3.811532
114,0.667738,0.834556,0.362892,-0.995241,-2.926841
115,0.619027,1.555523,2.420795,-0.997791,-1.865511
116,0.637357,1.068899,0.495577,-0.670138,-3.665975
117,0.701888,1.077177,0.177302,-0.621367,-3.811532
118,0.683893,0.857572,0.488754,-0.979976,-2.853069
119,0.619027,1.555523,2.419944,-0.996325,-1.865511
120,0.683893,0.858110,0.488754,-0.979911,-2.853069
121,0.408510,1.984637,4.767137,-0.993383,-1.351086
122,0.580547,1.555523,2.755327,-0.980589,-1.771820
123,0.683893,0.864506,0.488754,-0.979143,-2.853069
124,0.408510,1.954897,4.767137,-0.993375,-1.351086
125,0.410788,1.984637,4.767137,-0.972019,-1.360777
126,0.682834,0.860251,0.454658,-0.955557,-2.852377
127,0.408510,1.992445,4.767137,-0.993327,-1.351086
128,0.633088,0.845468,0.489238,-0.860197,-2.809809
129,0.652848,1.347534,2.061080,-0.887930,-1.937912
130,0.638416,0.864506,0.485898,-0.625341,-2.816523
131,0.408510,1.927981,4.767137,-0.978203,-1.351086
132,0.407249,1.984637,4.746828,-0.991135,-1.346618
133,0.637288,0.834556,0.362892,-0.857214,-2.808775
134,0.657096,1.347534,2.046813,-0.864651,-1.937134
135,0.657096,1.347534,2.047664,-0.864651,-1.937134
136,0.406182,1.984637,4.767137,-0.986760,-1.342341
137,0.619027,1.555523,2.502657,-0.998092,-1.865511
138,0.701888,1.073527,0.177302,-0.670277,-3.811532
139,0.667738,0.834556,0.362892,-0.995241,-2.926841
140,0.402403,1.954670,4.777190,-0.999141,-1.328292
141,0.619027,1.555523,2.420795,-0.997791,-1.865511
142,0.637357,1.068899,0.495577,-0.670138,-3.665975
143,0.701888,1.077177,0.177302,-0.621367,-3.811532
144,0.667917,0.836940,0.362892,-0.984380,-2.926840
145,0.402403,1.984637,4.777432,-0.998549,-1.328292
146,0.619027,1.555523,2.419944,-0.996325,-1.865511
147,0.683893,0.857572,0.488754,-0.979976,-2.853069
148,0.737682,0.965851,0.642863,-0.702677,-2.875246
149,0.408510,1.984637,4.767137,-0.993383,-1.351086
150,0.580547,1.555523,2.755327,-0.980589,-1.771820
151,0.683893,0.858110,0.488754,-0.979911,-2.853069
152,0.408510,1.984863,4.767379,-0.993382,-1.351086
153,0.683893,0.864506,0.488754,-0.979143,-2.853069
154,0.408510,1.954897,4.767137,-0.993375,-1.351086
155,0.410788,1.984637,4.767137,-0.972019,-1.360777
156,0.682834,0.862457,0.495474,-0.955938,-2.852377
157,0.408510,1.992445,4.767137,-0.993327,-1.351086
158,0.682834,0.860251,0.454658,-0.955557,-2.852377
159,0.701888,1.073527,0.177302,-0.670277,-3.811532
160,0.667738,0.834556,0.362892,-0.995241,-2.926841
161,0.402403,1.954670,4.777190,-0.999141,-1.328292
162,0.730433,0.970792,0.797178,-0.871659,-2.951664
163,0.692819,0.831480,0.053024,-0.885284,-2.944558
164,0.619027,1.555523,2.491591,-0.998385,-1.865511
165,0.637357,1.068899,0.495577,-0.670138,-3.665975
166,0.701888,1.077177,0.177302,-0.621367,-3.811532
167,0.667917,0.836940,0.362892,-0.984380,-2.926840
168,0.402403,1.984637,4.777432,-0.998549,-1.328292
169,0.619027,1.555523,2.502657,-0.998092,-1.865511
170,0.737682,0.965851,0.642863,-0.702677,-2.875246
171,0.684017,0.858091,0.488754,-0.981274,-2.853086
172,0.619027,1.555523,2.420795,-0.997791,-1.865511
173,0.683893,0.857572,0.488754,-0.979976,-2.853069
174,0.619027,1.555523,2.419944,-0.996325,-1.865511
175,0.683893,0.858110,0.488754,-0.979911,-2.853069
176,0.580547,1.555523,2.755327,-0.980589,-1.771820
177,0.408510,1.956783,4.767137,-0.993532,-1.351086
178,0.683893,0.863693,0.488754,-0.979241,-2.853069
179,0.408510,1.984637,4.767137,-0.993383,-1.351086
180,0.408510,1.984863,4.767379,-0.993382,-1.351086
